episode,stage,reward,avg_reward,MSE,timeframe,steps,epsilon,progress_pct,success_rate,Buffer,time_ms,streak,reached_finish
239,1,-1.0357,-0.9120,0.303,705,1874,0.303,95,0.42,8144,649.02,0,0
240,1,-0.9182,-0.8566,0.235,393,1070,0.302,85,0.42,8184,362.68,0,0
241,1,0.9953,-0.9216,0.312,355,999,0.300,85,0.41,8220,324.61,0,0
242,1,-3.9925,-0.8978,0.282,362,1027,0.299,85,0.41,8257,322.31,0,0
243,1,-1.3457,-0.8911,0.339,249,689,0.297,70,0.41,8282,228.34,0,0
244,1,1.6184,-0.7935,0.258,415,1133,0.296,85,0.41,8324,382.40,0,0
245,1,-3.1408,-0.8655,0.285,348,973,0.294,80,0.41,8359,312.56,0,0
246,1,2.2121,-0.7208,0.309,581,1575,0.293,90,0.41,8418,520.17,0,0
247,1,-0.6449,-0.6703,0.271,339,916,0.291,80,0.40,8452,306.27,0,0
248,1,-0.8245,-0.6689,0.247,290,826,0.290,80,0.40,8481,264.01,0,0
249,1,4.4576,-0.5670,0.328,314,957,0.288,85,0.40,8513,326.21,0,0
250,1,2.7398,-0.5466,0.245,312,899,0.287,80,0.40,8545,279.32,0,0
251,1,-2.5596,-0.5919,0.273,508,1417,0.286,90,0.40,8596,457.01,0,0
252,1,-0.7224,-0.5190,0.257,583,1626,0.284,95,0.40,8655,519.10,0,0
253,1,-0.0090,-0.4796,0.279,321,910,0.283,80,0.40,8688,299.49,0,0
254,1,-3.6260,-0.5469,0.244,779,2066,0.281,95,0.39,8766,698.55,0,0
255,1,0.8479,-0.4280,0.258,812,2126,0.280,95,0.39,8848,755.29,0,0
256,1,20.3473,-0.0687,0.293,695,1955,0.279,100,0.78,8918,626.01,1,1
257,1,0.0439,-0.0586,0.368,464,1354,0.277,95,0.78,8965,416.72,0,0
258,1,0.1269,0.0042,0.225,246,681,0.276,70,0.78,8990,220.21,0,0
259,1,-3.5651,-0.0697,0.209,127,337,0.274,50,0.77,9003,112.48,0,0
260,1,2.8479,0.0256,0.317,376,973,0.273,80,0.77,9041,335.24,0,0
261,1,0.8696,0.0246,0.306,787,2059,0.272,95,0.77,9120,684.61,0,0
262,1,0.7567,0.0834,0.374,573,1606,0.270,95,0.76,9178,525.22,0,0
263,1,-1.8502,0.0163,0.409,392,1055,0.269,80,0.76,9218,344.42,0,0
264,1,-4.3011,-0.0794,0.324,476,1216,0.268,80,0.76,9266,410.40,0,0
265,1,-1.0829,-0.0409,0.266,627,1684,0.266,95,0.75,9329,541.98,0,0
266,1,2.9794,0.0974,0.401,313,914,0.265,80,0.75,9361,279.93,0,0
267,1,-2.8863,0.0754,0.276,381,1045,0.264,80,0.75,9400,344.15,0,0
268,1,13.4840,0.3067,0.344,746,2070,0.262,100,1.12,9475,669.34,1,1
269,1,-0.9583,0.2623,0.281,540,1451,0.261,90,1.12,9529,481.35,0,0
270,1,1.1852,0.3580,0.299,531,1504,0.260,95,1.11,9583,477.44,0,0
271,1,-0.4161,0.3382,0.220,245,696,0.258,70,1.11,9608,228.67,0,0
272,1,2.5512,0.4619,0.253,359,1014,0.257,85,1.10,9644,320.43,0,0
273,1,-1.9945,0.4076,0.273,618,1716,0.256,95,1.10,9706,595.85,0,0
274,1,-3.2883,0.3491,0.233,122,320,0.255,50,1.09,9719,117.51,0,0
275,1,2.9836,0.1488,0.318,355,968,0.253,80,1.09,9755,318.88,0,0
276,1,0.6030,0.1437,0.296,537,1545,0.252,95,1.09,9809,467.08,0,0
277,1,-0.6538,0.2519,0.407,277,764,0.251,75,1.08,9837,283.95,0,0
278,1,-1.2118,0.1675,0.251,223,644,0.249,70,1.08,9860,208.68,0,0
279,1,-0.5346,0.2826,0.284,404,1067,0.248,80,1.08,9901,362.99,0,0
280,1,-1.9410,0.2491,0.331,277,766,0.247,75,1.07,9929,247.03,0,0
281,1,-0.4492,0.2145,0.313,333,875,0.246,75,1.07,9963,317.80,0,0
282,1,2.3244,0.3047,0.284,248,716,0.245,75,1.06,9988,225.84,0,0
283,1,0.0230,0.3426,0.276,526,1508,0.243,95,1.06,10041,476.35,0,0
284,1,2.8086,0.3932,0.436,225,647,0.242,70,1.06,10064,205.29,0,0
285,1,0.3862,0.4307,0.308,528,1503,0.241,95,1.05,10117,492.48,0,0
286,1,1.9341,0.5064,0.262,328,917,0.240,80,1.05,10150,287.11,0,0
287,1,-3.5005,0.4431,0.336,549,1546,0.238,95,1.05,10205,491.39,0,0
288,1,-0.1653,0.4302,0.277,234,678,0.237,70,1.04,10229,213.15,0,0
289,1,-1.4056,0.4228,0.405,296,855,0.236,80,1.04,10259,268.16,0,0
290,1,1.4869,0.4709,0.324,277,822,0.235,80,1.03,10287,247.91,0,0
291,1,-1.1565,0.4278,0.246,589,1608,0.234,95,1.03,10346,514.60,0,0
292,1,-4.9860,0.4080,0.390,284,756,0.233,70,1.03,10375,242.91,0,0
